#! daedalus 0.1.0
#! core_hash 
#! implementacao wolfram
#! metodo Espectral
#! graph_fingerprint 12020197036209409975
#! n 64
#! nnz 126
#! nmod 1
#! scale 1.9976644536646535
#! dt 0.1
#! lambda2 0.0024090875896555091
#! modularity_Q 0
#! mean_degree 1.96875
#! mean_path_len 21.666666666666667
#! n_edges 63
#! n_components 1
#! spec {"format_version":1,"core_hash":"","seed":12345,"graph":{"generator":"path","params":{"n_par":200,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":1,"ws_p":0,"conn_mode":"rewire","p_in":0,"p_out":0,"n":64,"dim":6,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"spectral","lanczos_steps":40},"initial":{"site":0},"time":{"t1":50,"nt":500},"observables":{"target":-1,"population":true,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0
0.1,0.99999999999999944,0.99500605597268809,0.10257886831946549,nan,0.99999999999999944
0.20000000000000001,0.99999999999999966,0.98023550308548113,0.20988962734955141,nan,0.99999999999999966
0.30000000000000004,0.99999999999999955,0.95630905859026804,0.32160813422272371,nan,0.99999999999999955
0.40000000000000002,0.99999999999999977,0.92421851511566011,0.43736400136434183,nan,0.99999999999999977
0.5,0.99999999999999966,0.88526604417006449,0.55674352141602678,nan,0.99999999999999966
0.60000000000000008,0.99999999999999977,0.84098573350579364,0.67929320532071657,nan,0.99999999999999977
0.70000000000000006,0.99999999999999955,0.79305319316800348,0.80452388606164326,nan,0.99999999999999955
0.80000000000000004,0.99999999999999944,0.74318983613342293,0.93191533075060251,nan,0.99999999999999944
0.90000000000000002,0.99999999999999966,0.69306865669225914,1.0609212950283293,nan,0.99999999999999966
1,0.99999999999999955,0.64422798647736045,1.1909749462456811,nan,0.99999999999999955
1.1,0.99999999999999966,0.59799884847875695,1.321494575786247,nan,0.99999999999999966
1.2000000000000001,0.99999999999999966,0.55545024330547854,1.451889516284845,nan,0.99999999999999966
1.3,0.99999999999999955,0.51735511522781174,1.5815661764753312,nan,0.99999999999999955
1.4000000000000001,0.99999999999999977,0.48417800718320935,1.7099341050132439,nan,0.99999999999999977
1.5,0.99999999999999966,0.45608368135597071,1.8364119948761734,nan,0.99999999999999966
1.6,0.99999999999999988,0.43296440571534855,1.960433541824333,nan,0.99999999999999988
1.7000000000000001,0.99999999999999988,0.41448231672884511,2.0814530738469914,nan,0.99999999999999988
1.8,0.99999999999999988,0.40012236171722892,2.1989508734361407,nan,0.99999999999999988
1.9000000000000001,0.99999999999999988,0.38925085813149656,2.3124381207953867,nan,0.99999999999999988
2,0.99999999999999977,0.3811746947718495,2.4214613935602296,nan,0.99999999999999977
2.1,0.99999999999999944,0.37519661213484406,2.5256066671036068,nan,0.99999999999999944
2.2000000000000001,0.99999999999999977,0.37066276844068729,2.6245027688356632,nan,0.99999999999999977
2.3000000000000002,0.99999999999999955,0.36699982814579645,2.7178242498740683,nan,0.99999999999999955
2.4000000000000003,0.99999999999999988,0.36373998658530548,2.8052936478451093,nan,0.99999999999999988
2.5,0.99999999999999988,0.36053354782007357,2.8866831251571403,nan,0.99999999999999988
2.6,0.99999999999999955,0.35714978924995038,2.9618154776488743,nan,0.99999999999999955
2.7000000000000001,0.99999999999999966,0.35346777980013116,3.0305645188426124,nan,0.99999999999999966
2.8000000000000002,0.99999999999999977,0.34945949776407542,3.0928548549263767,nan,0.99999999999999977
2.9000000000000003,0.99999999999999955,0.34516797971926072,3.1486610748619705,nan,0.99999999999999955
3,0.99999999999999966,0.34068331576041543,3.1980063885026925,nan,0.99999999999999966
3.1,0.99999999999999966,0.3361191116671644,3.2409607531591282,nan,0.99999999999999966
3.2000000000000001,0.99999999999999955,0.33159161433649075,3.2776385355564015,nan,0.99999999999999955
3.3000000000000002,0.99999999999999955,0.32720311021901499,3.3081957614893591,nan,0.99999999999999955
3.4000000000000003,0.99999999999999944,0.32303053491868199,3.3328270096401029,nan,0.99999999999999944
3.5,0.99999999999999944,0.31911955385672408,3.3517620089426509,nan,0.99999999999999944
3.6,0.99999999999999933,0.31548375991460131,3.3652620005560187,nan,0.99999999999999933
3.7000000000000001,0.99999999999999922,0.31210814098831601,3.3736159259644056,nan,0.99999999999999922
3.8000000000000002,0.99999999999999966,0.30895563617978766,3.3771365020109422,nan,0.99999999999999966
3.9000000000000003,0.99999999999999966,0.30597544047457003,3.5015234702677213,nan,0.99999999999999966
4,0.99999999999999966,0.30311172982432144,3.658870845859889,nan,0.99999999999999966
4.1000000000000005,0.99999999999999955,0.30031163881898131,3.800026313153797,nan,0.99999999999999955
4.2000000000000001,0.99999999999999955,0.29753159488124919,3.9243963456123287,nan,0.99999999999999955
4.2999999999999998,0.99999999999999933,0.29474145102396448,4.0316044850828101,nan,0.99999999999999933
4.4000000000000003,0.99999999999999933,0.29192621615251374,4.1214868258632524,nan,0.99999999999999933
4.5,0.99999999999999966,0.28908551344225569,4.1940842897840235,nan,0.99999999999999966
4.6000000000000005,0.99999999999999933,0.28623116732649883,4.2496320005246657,nan,0.99999999999999933
4.7000000000000001,0.99999999999999944,0.28338350339946366,4.2885461097582169,nan,0.99999999999999944
4.8000000000000007,0.99999999999999922,0.28056703153295375,4.3114084620327766,nan,0.99999999999999922
4.9000000000000003,0.99999999999999922,0.27780617231974052,4.3189495091640779,nan,0.99999999999999922
5,0.99999999999999933,0.27512159372773575,4.3120298982070952,nan,0.99999999999999933
5.1000000000000005,0.99999999999999933,0.27252757043169606,4.2916211599547722,nan,0.99999999999999933
5.2000000000000001,0.99999999999999966,0.27003058965209458,4.4275219129343668,nan,0.99999999999999966
5.3000000000000007,0.99999999999999955,0.26762923268216626,4.6128274366644399,nan,0.99999999999999955
5.4000000000000003,0.99999999999999955,0.26531518642702878,4.7737670313992603,nan,0.99999999999999955
5.5,0.99999999999999966,0.26307510462392569,4.9095074121687991,nan,0.99999999999999966
5.6000000000000005,0.99999999999999966,0.26089295695979408,5.0195798012250429,nan,0.99999999999999966
5.7000000000000001,0.99999999999999955,0.25875248075284468,5.103871733236482,nan,0.99999999999999955
5.8000000000000007,0.99999999999999966,0.256639380873528,5.1626126727304759,nan,0.99999999999999966
5.9000000000000003,0.99999999999999966,0.25454299901025523,5.1963540487316537,nan,0.99999999999999966
6,0.99999999999999966,0.2524572783139885,5.2059444114704582,nan,0.99999999999999966
6.1000000000000005,1,0.25038096660728215,5.1925004941335037,nan,1
6.2000000000000001,0.99999999999999944,0.24831711359415017,5.157375017718401,nan,0.99999999999999944
6.3000000000000007,0.99999999999999977,0.24627201013543384,5.1021221086281682,nan,0.99999999999999977
6.4000000000000003,0.99999999999999988,0.24425378006181602,5.1034689084640527,nan,0.99999999999999988
6.5,0.99999999999999977,0.24227086172504103,5.2805633341318811,nan,0.99999999999999977
6.6000000000000005,0.99999999999999977,0.24033060745940112,5.4289506986534785,nan,0.99999999999999977
6.7000000000000001,0.99999999999999977,0.23843818914328332,5.5479965533949409,nan,0.99999999999999977
6.8000000000000007,1,0.23659593569075312,5.6374792836407943,nan,1
6.9000000000000003,1,0.2348031543993993,5.6975767590965205,nan,1
7,1.0000000000000002,0.2330564140385844,5.7288461892433621,nan,1.0000000000000002
7.1000000000000005,1.0000000000000002,0.23135020374577941,5.813046385053024,nan,1.0000000000000002
7.2000000000000001,0.99999999999999988,0.22967783619956236,5.8729717957375813,nan,0.99999999999999988
7.3000000000000007,0.99999999999999988,0.22803244088510987,5.9024426544062702,nan,0.99999999999999988
7.4000000000000003,0.99999999999999988,0.2264078946611997,5.9022627969116783,nan,0.99999999999999988
7.5,0.99999999999999988,0.22479955991110486,5.8736090725540055,nan,0.99999999999999988
7.6000000000000005,0.99999999999999988,0.22320474011070676,5.8785845728228807,nan,0.99999999999999988
7.7000000000000001,1,0.22162281160500207,6.087187927404793,nan,1
7.8000000000000007,0.99999999999999944,0.22005504095800085,6.2602552902082466,nan,0.99999999999999944
7.9000000000000003,0.99999999999999988,0.21850414207363272,6.3967630292610317,nan,0.99999999999999988
8,1,0.21697366045275567,6.4962395351978274,nan,1
8.0999999999999996,1,0.21546728968137704,6.5587531854650826,nan,1
8.200000000000001,0.99999999999999988,0.21398822627584956,6.5848900868046102,nan,0.99999999999999988
8.3000000000000007,1.0000000000000002,0.21253865456792656,6.5757225016109783,nan,1.0000000000000002
8.4000000000000003,0.99999999999999966,0.21111942673757497,6.5327690559921212,nan,0.99999999999999966
8.5,0.99999999999999955,0.20972996920906883,6.5867819907167088,nan,0.99999999999999955
8.5999999999999996,1,0.20836841090224453,6.6149886999824687,nan,1
8.700000000000001,1,0.20703189659724705,6.6076333690449029,nan,1
8.8000000000000007,1.0000000000000002,0.20571702433448257,6.6850836123951955,nan,1.0000000000000002
8.9000000000000003,0.99999999999999988,0.2044203322609048,6.9121598486156754,nan,0.99999999999999988
9,1.0000000000000002,0.20313875879011181,7.0969612897894709,nan,1.0000000000000002
9.0999999999999996,1,0.20187000968812146,7.238260108596906,nan,1
9.200000000000001,0.99999999999999988,0.20061278446218996,7.3355073262721148,nan,0.99999999999999988
9.3000000000000007,0.99999999999999988,0.19936683880487099,7.3888199255557189,nan,0.99999999999999988
9.4000000000000003,0.99999999999999977,0.19813288584959243,7.3989547119898233,nan,0.99999999999999977
9.5,0.99999999999999988,0.1969123626965091,7.3672700128224857,nan,0.99999999999999988
9.6000000000000014,1.0000000000000002,0.19570710675403024,7.2956765690147005,nan,1.0000000000000002
9.700000000000001,0.99999999999999966,0.1945189966532323,7.1865791980758313,nan,0.99999999999999966
9.8000000000000007,1.0000000000000002,0.19334961388127006,7.1300520470089328,nan,1.0000000000000002
9.9000000000000003,0.99999999999999988,0.19219997425674195,7.1218047791704712,nan,0.99999999999999988
10,0.99999999999999977,0.19107036455182241,7.3100163739161132,nan,0.99999999999999977
10.100000000000001,0.99999999999999988,0.18996030145818224,7.5306632030165889,nan,0.99999999999999988
10.200000000000001,1,0.18886861066362042,7.7272710311316217,nan,1
10.3,1.0000000000000002,0.18779360601765124,7.911428207345164,nan,1.0000000000000002
10.4,1.0000000000000002,0.18673333514247739,8.0461244307341939,nan,1.0000000000000002
10.5,1.0000000000000004,0.18568585013555205,8.1307578861966067,nan,1.0000000000000004
10.600000000000001,1,0.18464946096914441,8.1654986615276961,nan,1
10.700000000000001,0.99999999999999988,0.18362293454366759,8.151262578392119,nan,0.99999999999999988
10.8,1.0000000000000002,0.18260561288915261,8.0896699224561725,nan,1.0000000000000002
10.9,1.0000000000000002,0.18159743783526358,7.9829905433958394,nan,1.0000000000000002
11,1.0000000000000002,0.18059888431825951,7.8340771066786309,nan,1.0000000000000002
11.100000000000001,1,0.17961081808632275,7.8252421585938218,nan,1
11.200000000000001,1,0.17863430395282503,8.1055955461659454,nan,1
11.3,1,0.17767039657644997,8.3352601515547899,nan,1
11.4,1.0000000000000002,0.17671994642443145,8.5122282108760476,nan,1.0000000000000002
11.5,1,0.17578344931046757,8.6353368958690523,nan,1
11.600000000000001,0.99999999999999966,0.17486095962627565,8.7042673577663745,nan,0.99999999999999966
11.700000000000001,1,0.17395207658208566,8.8121253072077863,nan,1
11.8,1,0.17305600120457589,8.8705952312658951,nan,1
11.9,1,0.17217165128982475,8.8738488239526596,nan,1
12,0.99999999999999988,0.17129781349800199,8.8231577325018299,nan,0.99999999999999988
12.100000000000001,0.99999999999999977,0.17043330736249076,8.7205809934361688,nan,0.99999999999999977
12.200000000000001,1,0.16957713562692081,8.5689013145640817,nan,1
12.3,1,0.16872859884373797,8.6557454577928076,nan,1
12.4,1,0.16788735882012778,8.8896039822991284,nan,1
12.5,0.99999999999999966,0.16705344410559147,9.119705287625397,nan,0.99999999999999966
12.600000000000001,0.99999999999999988,0.16622719987563489,9.2908568622322942,nan,0.99999999999999988
12.700000000000001,0.99999999999999977,0.1654091928672482,9.401956262930236,nan,0.99999999999999977
12.8,0.99999999999999977,0.16460008825924599,9.452851954613779,nan,0.99999999999999977
12.9,1.0000000000000002,0.16380051873462159,9.4443199747193347,nan,1.0000000000000002
13,0.99999999999999955,0.16301096606320078,9.378021412763692,nan,0.99999999999999955
13.100000000000001,0.99999999999999944,0.16223167255836631,9.3842143238210375,nan,0.99999999999999944
13.200000000000001,0.99999999999999944,0.16146259430537746,9.3328874089240994,nan,0.99999999999999944
13.3,0.99999999999999955,0.16070340108531794,9.2260013319643441,nan,0.99999999999999955
