#! daedalus 0.1.0
#! core_hash 38a7c906e0794c1d
#! implementacao c
#! graph_fingerprint 18202184968892204173
#! n 256
#! nnz 512
#! nmod 1
#! scale 2
#! spectral_lo -1
#! spectral_hi 1
#! cheb_a 1
#! cheb_b 0
#! dt 0.66666666666666663
#! alpha 0.66666666666666663
#! cheb_k 13
#! lanczos_used 1
#! lambda2 0.00060236260759156056
#! lambda2_residual 1.7020327404581161e-15
#! lambda2_converged 1
#! modularity_Q 0
#! mean_degree 2
#! mean_path_len 64.250980392156862
#! n_edges 256
#! n_components 1
#! rewire_failed 0
#! spec {"format_version":2,"core_hash":"38a7c906e0794c1d","seed":2026,"graph":{"generator":"cycle","params":{"n_par":200,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":1,"ws_p":0,"conn_mode":"rewire","p_in":0,"p_out":0,"n":256,"dim":6,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"mean_degree","lanczos_steps":40},"initial":{"site":0},"time":{"t1":8,"nt":12},"observables":{"target":128,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0
0.66666666666666663,1,0.65265000095263959,1.697422647440789,0,1
1.3333333333333333,0.99999999999999956,0.29123941136801668,3.6161234915188736,0,0.99999999999999956
2,0.99999999999999933,0.25532553962283411,4.8843615153571864,0,0.99999999999999933
126,-1.1549235103532901e-137,0
127,0,-2.9838967423622121e-139
128,1.5145405080147935e-140,0
129,0,-2.9838967423622121e-139
130,-1.1549235103532901e-137,0
131,0,4.3851348868113571e-136
132,1.6352097893187047e-134,0
133,0,-5.9914556723080021e-133
134,-2.1579968871671807e-131,0
135,0,7.643726522825034e-130
136,2.6635323296987016e-128,0
137,0,-9.1339683050963322e-127
138,-3.0835322890194256e-125,0
139,0,1.025069369832621e-123
140,3.3565442294234165e-122,0
141,0,-1.0828679706074392e-120
142,-3.4427382831736351e-119,0
143,0,1.078875924730889e-117
144,3.3332232742558302e-116,0
145,0,-1.0154590084188169e-114
146,-3.0509762510586114e-113,0
147,0,9.0419291571014159e-112
148,2.6435711786137178e-110,0
149,0,-7.6257934745382783e-109
150,-2.1706742273807451e-107,0
151,0,6.097706472243424e-106
152,1.6906073412504135e-104,0
153,0,-4.6265910976853615e-103
154,-1.2498422561610025e-101,0
155,0,3.3331479073341564e-100
156,8.7757649009363472e-99,0
157,0,-2.2812263245066248e-97
158,-5.854949413091274e-96,0
159,0,1.4837617565563134e-94
160,3.712811662522251e-93,0
161,0,-9.1737632841152638e-92
162,-2.2382206382763098e-90,0
163,0,5.3922587812388e-89
164,1.282772376196743e-87,0
165,0,-3.0132489307292017e-86
166,-6.9890704569869019e-85,0
167,0,1.6006348555973164e-83
168,3.6194287510484066e-82,0
169,0,-8.0806483957472586e-81
170,-1.7811125465234334e-79,0
171,0,3.8757263778449083e-78
172,8.3254195680473407e-77,0
173,0,-1.7653148196107651e-75
174,-3.6946220331631077e-74,0
175,0,7.6315984155172883e-73
176,1.5556844175001115e-71,0
177,0,-3.1293046565815363e-70
178,-6.2108546774553116e-69,0
179,0,1.2161463167249442e-67
180,2.3491021127966871e-66,0
181,0,-4.4755570175085157e-65
182,-8.4094146469530133e-64,0
183,0,1.5581132448020386e-62
184,2.8463261693564501e-61,0
185,0,-5.1257470272998293e-60
186,-9.0980343397132419e-59,0
187,0,1.5914149370403652e-57
188,2.7427658376898915e-56,0
189,0,-4.6567595526072829e-55
190,-7.7872707754508823e-54,0
191,0,1.2823479404393518e-52
192,2.0789997725315543e-51,0
193,0,-3.3176894469683432e-50
194,-5.2101513209183035e-49,0
195,0,8.0499751594638308e-48
196,1.2233766095361496e-46,0
197,0,-1.8282452799435672e-45
198,-2.6859619672402904e-44,0
199,0,3.8782327235677186e-43
200,5.5018510876003656e-42,0
201,0,-7.6664045816201978e-41
202,-1.0489238346735615e-39,0
203,0,1.4087080939812454e-38
204,1.8564031010840556e-37,0
205,0,-2.3996103103389471e-36
206,-3.0413224906730849e-35,0
207,0,3.7780401161194063e-34
208,4.5980582006593491e-33,0
209,0,-5.4802409460852097e-32
210,-6.39362472559685e-31,0
211,0,7.2981524637729196e-30
212,8.1467320147124834e-29,0
213,0,-8.8886294162571063e-28
214,-9.4739751391265806e-27,0
215,0,9.8589166931256269e-26
216,1.0010746768637941e-24,0
217,0,-9.9122276630736657e-24
218,-9.5643632082784908e-23,0
219,0,8.9870552736456473e-22
220,8.2174032801256505e-21,0
221,0,-7.3058051095237711e-20
222,-6.3104128549240938e-19,0
223,0,5.2907969955161303e-18
224,4.301805565331104e-17,0
225,0,-3.3885375666328545e-16
226,-2.5830990689236465e-15,0
227,0,1.9034391517693106e-14
228,1.3541624877118124e-13,0
229,0,-9.2887938580452231e-13
230,-6.134519733175664e-12,0
231,0,3.894549929666817e-11
232,2.3727485210657228e-10,0
233,0,-1.384703616629921e-09
234,-7.7247709512367792e-09,0
235,0,4.1101536630815979e-08
236,2.0805829638690661e-07,0
237,0,-9.9918994533829305e-07
238,-4.538093944000032e-06,0
239,0,1.9422232802668021e-05
240,7.800639546731555e-05,0
241,0,-0.00029260334906656862
242,-0.0010192561635323273,0
243,0,0.0032747932232966054
244,0.0096238218121816287,0
245,0,-0.025596672213248253
246,-0.060767026774251089,0
247,0,0.12632089472237953
248,0.22345498635110275,0
249,0,-0.320589077979826
250,-0.33757590011359301,0
251,0,0.1857747721905634
252,-0.10535743487538857,0
253,0,0.29113220706595205
254,0.11299172042407561,0
255,0,0.23463634685391421
