passo,gamma_t,c_total,sd_total,c_inter,sd_inter,c_intra
0,0,0,0,0,0,0
10,1,0.088160246207388382,0.0010035959750550679,0.0012072976926088769,3.2223597387158234e-05,0.086952948514779499
20,2,0.085747489216556533,0.0012625568207459107,0.0014655049079996222,5.6158669058115544e-05,0.084281984308556906
30,3,0.087696573845864351,0.00088734066919205412,0.0017350645370908277,6.3587614532181408e-05,0.085961509308773526
40,4,0.085662021199877245,0.00073595274443062706,0.0023622050641799734,0.00015613314001842335,0.083299816135697272
50,5,0.085617854742216171,0.00058666826910520691,0.0024907770763241449,0.00020685419722089171,0.08312707766589203
60,6,0.087389777752251874,0.0015203863605805165,0.0027587265416571644,0.00016049174352933564,0.084631051210594707
70,7,0.087063362730152832,0.00066163154327643033,0.0027304886594878472,0.00013091574006366538,0.08433287407066499
80,8,0.08414595262708302,0.0014543286128410669,0.0030597349647966013,0.0001545640271770736,0.081086217662286422
90,9,0.085629701643759645,0.0010319263370307885,0.0032205740686188978,0.0001431553192736506,0.082409127575140753
100,10,0.084262515313771782,0.00084083512186402035,0.0035170665776881748,0.00015376807422059496,0.080745448736083608
110,11,0.084773146991951806,0.0013915282013651257,0.0036335680425161197,0.00015865616757034361,0.081139578949435687
120,12,0.085387932684705167,0.0010824048267558208,0.0046068909811006588,0.00023997591570274125,0.080781041703604506
130,13,0.086042095323821649,0.00095962842316648668,0.0044788430744736926,0.00017708345317700316,0.081563252249347962
140,14,0.083565410933089959,0.0011449070778416543,0.0046056326124167355,0.00024356080025389243,0.078959778320673218
150,15,0.082829708708902425,0.00048777905882580678,0.0048207467984894871,0.000208804199490461,0.078008961910412941
160,16,0.082789367453133533,0.0010368869421211679,0.0046619726418327271,0.00017328125331083366,0.078127394811300807
170,17,0.081725213561565924,0.00081743977061639436,0.0054064383818588297,4.9406260177815532e-05,0.076318775179707088
180,18,0.085304129954212993,0.0015345805226163901,0.0053886264436755699,0.0002082441040309318,0.079915503510537417
190,19,0.081977491699378888,0.0011703754952029429,0.0054916956478537693,0.00025497875716626561,0.076485796051525112
200,20,0.08326569605479342,0.0012318004574834696,0.0061541979116055759,0.00019276275479824346,0.077111498143187851
210,21,0.08289967915364331,0.0011517171428085773,0.0059637824822195542,0.00021137396811645671,0.076935896671423754
220,22,0.0818827597920051,0.0011389894600385116,0.0059728780642380958,0.0002803549677388112,0.075909881727766998
230,23,0.082582582254090486,0.00064702808586602882,0.0061611985351843149,0.00025926319743337989,0.076421383718906166
240,24,0.08165402213816543,0.0013979635906761691,0.006217980994717545,0.00035420550207414372,0.075436041143447888
250,25,0.081537659083638844,0.00078687998556225451,0.0069223370269884685,0.00031049864863837281,0.074615322056650377
260,26,0.081139012091135734,0.0012953498025163647,0.0065487449064459483,0.00025384388292842787,0.074590267184689779
270,27,0.080548744368088565,0.0013080107578836834,0.0066355871959856592,0.00023554578411912863,0.073913157172102908
280,28,0.080564470362265078,0.00078352920864907267,0.0071707701582408899,0.00025192385056211079,0.073393700204024193
290,29,0.08119336890801164,0.0011683716876021476,0.0072580140537220408,0.00030795383990116828,0.073935354854289592
300,30,0.083225275237842525,0.00048065609044914556,0.0072044816476107909,0.00026064102448239494,0.076020793590231728
310,31,0.078498678682776143,0.0012218709755405254,0.0073739688524141114,0.00044956140150420024,0.071124709830362037
320,32,0.080375957668159595,0.00077433454464969254,0.007759859190454888,0.00029240870075207249,0.072616098477704713
330,33,0.080315937574177376,0.00050575097394342798,0.0078869888731204884,0.00024541591971761806,0.072428948701056886
340,34,0.079303605788324502,0.0010787779122127382,0.0078740675110478275,0.00034610844534997535,0.071429538277276675
350,35,0.080442612365857175,0.0016325233802215453,0.0082924659189742098,0.00036757253503356751,0.07215014644688296
360,36,0.080497741910349613,0.00080788257011815787,0.008581344012874496,0.00028969183811378488,0.071916397897475115
370,37,0.080278250762613926,0.00085348135520744994,0.0087035118142867324,0.00020255561270656836,0.071574738948327193
380,38,0.079884196471824612,0.0010712147633215178,0.0089276047595793096,0.00034274132318710368,0.070956591712245304
390,39,0.079904085096166047,0.00071964650134865834,0.0089814799812052409,0.0002452552285994394,0.070922605114960804
400,40,0.080438423571616194,0.00078125482946140472,0.0092200006049377378,0.00030718311590795147,0.071218422966678463
