passo,gamma_t,c_total,sd_total,c_inter,sd_inter,c_intra
0,0,0,0,0,0,0
10,1,0.87385939731020623,0.00057089886229344793,0.047872579411534409,4.1149626898229727e-05,0.82598681789867179
20,2,2.3494630148590749,0.0052818661375587115,0.32456484993502444,0.00087583896620613863,2.0248981649240507
30,3,4.8012037842244473,0.011526291294412898,1.1851582751500505,0.003481857418449258,3.6160455090743966
40,4,8.808931837928899,0.018185849558841671,3.2612391452778748,0.0078553677101313533,5.5476926926510242
50,5,15.275470894210082,0.034999345040733813,7.5375648022174024,0.019671640676975046,7.7379060919926799
60,6,25.232782557981118,0.053111559576483357,15.222108140760204,0.034753959348959536,10.010674417220914
70,7,39.841239050258324,0.090198486782725282,27.570307320702575,0.063928969324208107,12.270931729555748
80,8,59.467833244754765,0.19701346287058524,45.087770419683103,0.15068521348816238,14.380062825071661
90,9,83.879231678080373,0.27999110991066695,67.47060974939366,0.22883004128990744,16.408621928686713
100,10,112.10569526596323,0.39394681713489266,93.449143950689674,0.33298476721034964,18.65655131527356
110,11,143.07678768618254,0.59595518983862283,121.62907325030994,0.51129445265454598,21.447714435872598
120,12,175.52957256564608,0.70472033855833438,150.80240803746821,0.61251614166078394,24.727164528177866
130,13,206.31676634985473,0.77092104912978021,178.36526270237084,0.67528503364029868,27.951503647483889
140,14,233.70863203213835,1.0304234099176373,202.64357297226906,0.90656500408436236,31.065059059869299
150,15,251.19643565865266,1.2125321451746616,218.27828158273081,1.066588059949596,32.918154075921848
160,16,261.40148254577366,1.2111319045141999,227.46553062467305,1.0645681853372395,33.93595192110061
170,17,262.71652251351867,1.3179549913867352,228.84925842808329,1.1593590163342005,33.86726408543538
180,18,260.92923766009903,1.1480283128138071,227.48944762395064,1.0100839338783145,33.439790036148395
190,19,260.25166809610795,1.1779547701158368,227.05293964953745,1.0338226910364376,33.198728446570499
200,20,260.7474136048582,1.5847064900752943,227.66975322401726,1.3869903229764289,33.077660380840939
210,21,260.4471405737151,1.8767612100330833,227.56368833418023,1.6431726781746716,32.883452239534876
220,22,256.85441844289329,2.1280147198801709,224.47741837081739,1.8618600177129492,32.377000072075901
230,23,250.60069006112528,1.8863497011701416,219.04384715899195,1.6493371971677222,31.556842902133326
240,24,245.32130515569446,1.8559659086473594,214.48832806064266,1.6229987153621455,30.832977095051803
250,25,242.49407657794168,1.8303638211217073,212.07030433597626,1.6009770135168508,30.423772241965423
260,26,241.39601898933427,1.6947390178705506,211.12641763463515,1.4822560231661257,30.26960135469912
270,27,241.77011621127539,1.7490804359947776,211.49309625421546,1.5292552488588471,30.277019957059935
280,28,241.30491668707393,1.9151821331975214,211.13560008250641,1.6747738547250661,30.169316604567513
290,29,240.32878888302909,1.9128704486856678,210.32430567339088,1.673193761655537,30.004483209638209
300,30,235.50998750150384,1.6631466180973362,206.14895494058163,1.4550519734817122,29.361032560922212
310,31,230.95376428184659,1.6135336032468681,202.18318692338849,1.4122683882667488,28.770577358458098
320,32,225.332337619897,1.6798669442226424,197.29209984039554,1.4697533328966854,28.040237779501467
330,33,221.03601857418863,1.6100107611595527,193.56185004071759,1.4077140240287098,27.474168533471044
340,34,218.07010628535318,1.646510835712907,190.96727273286956,1.4393906068801785,27.102833552483617
350,35,215.51111125243727,1.6702636034317111,188.70903067217364,1.4610588159488047,26.802080580263635
360,36,213.41355962036957,1.6148620396369839,186.86779938909532,1.4133328843030382,26.545760231274244
370,37,210.89882171929605,1.5706105593853077,184.69286407742231,1.3750671772527092,26.205957641873738
380,38,209.42957727668073,1.5402884788083198,183.43200683170912,1.3482714818686234,25.997570444971615
390,39,207.91698423351903,1.7025448148723674,182.1174652726759,1.4900829697053564,25.79951896084313
400,40,203.83318654834392,1.4263304689880014,178.52974286545719,1.2479589669440119,25.303443682886723
