passo,gamma_t,c_total,sd_total,c_inter,sd_inter,c_intra
0,0,0,0,0,0,0
10,1,0.088702340521771561,0.0009839987296820635,1.0543976292162057e-08,7.9297228770466279e-10,0.088702329977795272
20,2,0.085885754161553626,0.0012483384830942002,1.577751217470317e-08,1.1406242156680052e-09,0.085885738384041455
30,3,0.087602979339382242,0.00088264048845844369,1.7063785541586091e-08,2.1397373672683774e-09,0.087602962275596705
40,4,0.084854136086190718,0.00083649810067094226,3.1924165565122262e-08,4.6836451785089917e-09,0.084854104162025157
50,5,0.084624280898599732,0.00062467690244052076,2.6456305223396324e-08,4.5583633852095427e-09,0.084624254442294503
60,6,0.086118589284009395,0.0015407360585541845,3.7631128231363849e-08,3.7506640442856697e-09,0.086118551652881167
70,7,0.085796586299327043,0.00081699365708367579,3.585555816768639e-08,8.2378603579929652e-09,0.085796550443768882
80,8,0.082336254805223566,0.0014410046484895401,3.8678196338975631e-08,5.0862544130820997e-09,0.082336216127027226
90,9,0.083744035541272355,0.0010841710977117411,5.6919908096141813e-08,5.3562383504228051e-09,0.083743978621364262
100,10,0.081976966881877764,0.00073868454480500491,7.4466599169331629e-08,1.1136514008069074e-08,0.081976892415278599
110,11,0.082388674100439332,0.0013507718556933044,8.6899135419078169e-08,1.4416757540147944e-08,0.082388587201303917
120,12,0.081966057117335747,0.0010234002135479318,7.01492012935882e-08,8.4711147643838879e-09,0.081965986968134452
130,13,0.082736418530765646,0.00087868954264304681,9.7832581213642622e-08,8.234844343393295e-09,0.082736320698184429
140,14,0.080001261368803658,0.00096555602992106835,1.1083516342989745e-07,1.6967989957675428e-08,0.080001150533640222
150,15,0.078980412637931055,0.00050666087603929582,1.1925231954939474e-07,1.2549227404867852e-08,0.078980293385611508
160,16,0.079022903376803344,0.0010641320989577311,9.5712137998842769e-08,1.0387580067211486e-08,0.079022807664665351
170,17,0.077084366287525435,0.000830635929512607,2.3033749255768087e-07,4.1906182076314826e-08,0.077084135950032884
180,18,0.080541011796608594,0.0015429211300019849,3.2483520656105098e-07,8.3611743379487372e-08,0.080540686961402028
190,19,0.077281684541624249,0.0011687511158575488,7.6017173219464615e-07,1.88107179655817e-07,0.077280924369892048
200,20,0.077592095102152356,0.0012600895784222964,2.9671960835965139e-07,6.9958164885865725e-08,0.077591798382544
210,21,0.077345517079430215,0.0012013592417359459,2.6403572165111027e-07,4.1807555511010835e-08,0.077345253043708567
220,22,0.076208732813613539,0.001120363828456862,6.423361178450652e-07,1.8626780548265726e-07,0.076208090477495688
230,23,0.076686050976712342,0.0006950475974136966,4.9629088420708016e-07,1.1273090949797736e-07,0.076685554685828133
240,24,0.07559672366464594,0.0012641608811871368,1.0390041754742295e-06,1.7769191536805404e-07,0.075595684660470466
250,25,0.074572687541803295,0.00087028300017428725,9.1484738130157691e-07,8.850712240022482e-08,0.074571772694422001
260,26,0.074522451827404468,0.0012035733732439439,1.2471410137062947e-06,1.1355943676692832e-07,0.074521204686390757
270,27,0.074166379220884482,0.0011425088200833894,1.4123138221950642e-06,7.4485495435429069e-08,0.074164966907062285
280,28,0.073299633439132983,0.00084605833479674914,1.9617787715324921e-06,9.4184085522011591e-08,0.073297671660361455
290,29,0.073864815146960291,0.0009841152533542224,1.3363637365357456e-06,9.3912334981628013e-08,0.07386347878322376
300,30,0.075542576161332198,0.00047654360204474371,6.3783789264684727e-07,5.8795562126484385e-08,0.075541938323439556
310,31,0.070977706408173205,0.00086681004036131062,1.6931532825330292e-06,1.5327646355738488e-07,0.070976013254890669
320,32,0.072314162815173902,0.000656280735674407,1.3821760423827318e-06,9.5265477860654041e-08,0.072312780639131519
330,33,0.071994748560179025,0.00055217506601658393,1.0740573115001222e-06,3.4661795138079281e-07,0.071993674502867519
340,34,0.070906683570345214,0.001191714993932059,1.4532633546137262e-06,4.6769955825102888e-07,0.070905230306990599
350,35,0.071876464898150708,0.0014781678527507646,1.1864237820360796e-06,1.2197011587771679e-07,0.07187527847436867
360,36,0.071133466839470777,0.00052329565738138762,1.1889956561921794e-06,2.2027032039774287e-07,0.071132277843814581
370,37,0.071131733601200106,0.00077712930421971972,1.1716331903740388e-06,5.1344075686350802e-07,0.071130561968009737
380,38,0.070598054125356885,0.00083238610897759242,1.4906541642349756e-06,1.1379110874035893e-07,0.070596563471192655
390,39,0.070319939597963815,0.00041395692824828205,1.7446129671524927e-06,4.8575671147974947e-07,0.070318194984996668
400,40,0.070193901215085577,0.00067189363300966575,1.4545478215047477e-06,1.2933320866646818e-07,0.070192446667264069
