passo,gamma_t,c_total,sd_total,c_inter,sd_inter,c_intra
0,0,0,0,0,0,0
10,1,0.51548651156104441,0.0029517603264088673,0.023882240353548117,0.00019844458610064535,0.49160427120749628
20,2,0.80706229340348523,0.010552364896438972,0.079930406835259052,0.0013598981973601146,0.72713188656822614
30,3,0.98712172652594665,0.0098531541071130938,0.15419228545599356,0.0020706643318389364,0.83292944106995304
40,4,1.0411597104495252,0.015372890451072025,0.21201167246501598,0.0048310122672986962,0.8291480379845092
50,5,1.0388670133983229,0.011003664248350708,0.25370560917952467,0.0049192280744551923,0.78516140421879821
60,6,1.0849047225057324,0.023294298762787657,0.30271293598485188,0.0095382181315750002,0.78219178652088051
70,7,1.082406412320934,0.02324274231920952,0.33040057295890185,0.013040357279710283,0.75200583936203214
80,8,1.0628071403099002,0.01349587759223436,0.3407134497384901,0.010845661405991658,0.72209369057141015
90,9,1.0539666227489901,0.017332045305207607,0.3564389297227783,0.0099931901894460117,0.69752769302621176
100,10,1.0183490653660043,0.017525088477566699,0.35775211269524892,0.011949515122476573,0.66059695267075536
110,11,1.0445207325685406,0.027258420148036224,0.38226003450908186,0.017369686009111231,0.66226069805945875
120,12,0.96411119239466037,0.030996261532997768,0.36284712265123248,0.01978597754104966,0.60126406974342794
130,13,0.96988174349750134,0.019484129535077239,0.37245079255021341,0.015214176246130072,0.59743095094728793
140,14,1.0038849412773718,0.029457865447848518,0.40023644587665297,0.022140003682589466,0.60364849540071885
150,15,0.94338752276932014,0.019049577106770552,0.38347984272334718,0.0090277440762223781,0.55990768004597302
160,16,0.948616515517957,0.010042238986191615,0.39079198674134097,0.010884945616021028,0.55782452877661604
170,17,0.98757630084775838,0.028683357319916742,0.41486498916172138,0.020850765861161687,0.57271131168603695
180,18,0.95606578682039633,0.0086712622771635967,0.39176027878842595,0.0030661246447572202,0.56430550803197033
190,19,0.94746008910620938,0.020728906136650595,0.4060491760873266,0.014165424438105081,0.54141091301888278
200,20,0.93828412065920985,0.025121809836072474,0.4064542329717003,0.019992605402439974,0.53182988768750961
210,21,0.95176255530877352,0.009004327111793501,0.41990703296865434,0.011030178314483854,0.53185552234011912
220,22,0.92954242831447442,0.01868880975931108,0.4126335274472418,0.01674344564363912,0.51690890086723262
230,23,0.97987159980580396,0.017149068627268407,0.44787302519742939,0.011313353854991017,0.53199857460837463
240,24,0.92485154859225527,0.02070405451832142,0.41698185743976635,0.013018466325756112,0.50786969115248892
250,25,0.90234254977212913,0.026632424872029135,0.41154124067961079,0.016031319738196319,0.49080130909251835
260,26,0.88353856315871315,0.025778285219674003,0.41196463597358568,0.018569115217708061,0.47157392718512747
270,27,0.86211142688762887,0.016476485953284412,0.39618854166787054,0.013490242003984496,0.46592288521975833
280,28,0.87462879733447119,0.022075247258504242,0.40898449831633366,0.016729715423180982,0.46564429901813753
290,29,0.85915656497709791,0.026064844215575141,0.39737440705003091,0.021934032075476603,0.46178215792706701
300,30,0.85800454154534922,0.019299354919602749,0.39848207324165286,0.013755770067427613,0.45952246830369636
310,31,0.86493052044442875,0.028084474407793242,0.40377187637549716,0.016702027133617143,0.46115864406893159
320,32,0.87781156610998268,0.027344582655512352,0.41759799724822755,0.019421609551954787,0.46021356886175513
330,33,0.87452713466498178,0.026773237546288801,0.42019009559990661,0.021179746753968977,0.45433703906507517
340,34,0.8316447904510722,0.027564023343402459,0.38478419790132445,0.019391640167155066,0.44686059254974775
350,35,0.83053306546706906,0.031749350571246983,0.38375929493930783,0.024397131813394764,0.44677377052776124
360,36,0.79563735421244675,0.028457429056181805,0.3781546850857887,0.020841924570249703,0.41748266912665805
370,37,0.79593976939571165,0.017488202354010093,0.38150567319458589,0.018434562825545356,0.41443409620112576
380,38,0.80736456466164341,0.020483344491787851,0.4008312420039693,0.017851455154447034,0.40653332265767411
390,39,0.80590405472837279,0.016674476681387284,0.40451940750041043,0.016658866044282478,0.40138464722796235
400,40,0.77064178444497478,0.024860436822267584,0.38408292348104145,0.01959787268482148,0.38655886096393333
