passo,gamma_t,c_total,sd_total,c_inter,sd_inter,c_intra
0,0,0,0,0,0,0
10,1,0.25555889725206121,0.0016205425281719484,0.0085262949830577049,7.0536313396286953e-05,0.2470326022690035
20,2,0.26777306344645813,0.0027710990261509377,0.013439275313573152,0.00035473304530988256,0.25433378813288499
30,3,0.26848216123715152,0.0031823545003728661,0.016760850804131547,0.00095683417249026778,0.25172131043301998
40,4,0.2703422584719597,0.0032939606858660257,0.019061111738775827,0.00044586675956417707,0.25128114673318386
50,5,0.26339495838798438,0.0036471171374377275,0.02116407465059178,0.00068931007178531245,0.2422308837373926
60,6,0.26140314116644492,0.0024139184642271078,0.022595411994058231,0.00081367970723015496,0.23880772917238668
70,7,0.26211881089936562,0.0029871839680454485,0.024879403025257995,0.0011543496934631266,0.23723940787410763
80,8,0.25693455685134864,0.001035656470959065,0.025784302284639734,0.00039262659309635754,0.2311502545667089
90,9,0.2576088705990055,0.0039686368288314984,0.028641911720536886,0.0011055283105351563,0.22896695887846863
100,10,0.24776519406922337,0.0033143407875580533,0.028385232074248881,0.0010946799912709805,0.2193799619949745
110,11,0.24856589880918004,0.0041314837460040962,0.031986040507479656,0.002156942365391594,0.21657985830170037
120,12,0.25488608245936295,0.0049684699973689978,0.034173610167881348,0.0021495807790103778,0.22071247229148161
130,13,0.24608889741822168,0.0033231538635615436,0.034476877668043589,0.0011818164758881299,0.2116120197501781
140,14,0.24523795132889226,0.0016537731360901941,0.03431621038880079,0.00083982403608451491,0.21092174094009147
150,15,0.24305012619241606,0.0035604607590822412,0.035115898101914594,0.0010659073674068641,0.20793422809050147
160,16,0.24343187268197736,0.0030520312258747032,0.036414430485587145,0.0012441499323257138,0.20701744219639021
170,17,0.2421967772692307,0.0038180687715692733,0.038908092046186622,0.0011563552641430136,0.20328868522304408
180,18,0.23704927323475486,0.0020389106718959596,0.038829918959777353,0.001200237739727193,0.1982193542749775
190,19,0.24236852613438878,0.0021384232627873934,0.041542247086080369,0.00094307379985605216,0.20082627904830841
200,20,0.23900248226716153,0.002899649603888933,0.042642192442585929,0.0015716164532923709,0.1963602898245756
210,21,0.23641722819204297,0.0028782334885400418,0.042410961309981947,0.0011721952140326952,0.19400626688206102
220,22,0.23781527618563808,0.0034757517894690041,0.044675168898860355,0.00080007028871020196,0.19314010728677772
230,23,0.23180240914467745,0.0039380717974326412,0.044812311651843052,0.0015600950492332898,0.18699009749283441
240,24,0.23342555978197629,0.0031258708461575661,0.045648233887926458,0.00083476860227093359,0.18777732589404983
250,25,0.22390279663643203,0.0039793813226980555,0.043342770575704341,0.0014031725090099879,0.18056002606072769
260,26,0.23289126499257884,0.0016747395267859631,0.049228414831085573,0.0014108786287002895,0.18366285016149325
270,27,0.22742257319912418,0.0014215025648063281,0.049316483371370318,0.00086277441372563553,0.17810608982775386
280,28,0.23964172851867133,0.0031721267993320779,0.05457513776158928,0.0016290777522446969,0.18506659075708204
290,29,0.23490837244589591,0.0024370653977942251,0.051994161699515359,0.0013312768552709911,0.18291421074638053
300,30,0.22798523736179505,0.0038726229339430531,0.049013536400607259,0.0022415350393749788,0.17897170096118778
310,31,0.22932568499347464,0.0045448387192822369,0.050366656558564614,0.0011664450096116636,0.17895902843491002
320,32,0.22631873434963876,0.0023934826578822154,0.050236578376515545,0.0010914195745110233,0.17608215597312321
330,33,0.23160536936989687,0.0025793248551998563,0.052976956560338545,0.001969105338565679,0.17862841280955832
340,34,0.23011644028613645,0.0036329468718499071,0.054466221667857619,0.0018568161275619036,0.17565021861827884
350,35,0.23037507425701492,0.0041765977172706654,0.053342724986256945,0.0011753563745805656,0.17703234927075798
360,36,0.2234218362968558,0.0032692260625140283,0.05281235260220056,0.0021050868388692171,0.17060948369465523
370,37,0.22672224294771182,0.0037871879041483751,0.053099403402535508,0.0013060600599171623,0.17362283954517632
380,38,0.22301275092370412,0.0041854965626418042,0.05524824547152446,0.0020137809278909517,0.16776450545217966
390,39,0.22013240534794434,0.0028104735400169105,0.054929611592309698,0.0011598317765993298,0.16520279375563465
400,40,0.2191332940783976,0.0041622871339139274,0.053896778117830925,0.0022054450454127975,0.16523651596056668
