passo,gamma_t,c_total,sd_total,c_inter,sd_inter,c_intra
0,0,0,0,0,0,0
10,1,0.25236453439461209,0.0016114558522467444,3.5850367520369192e-07,5.8334643252819102e-09,0.2523641758909369
20,2,0.25949576656943923,0.0025410826239983106,1.722027038497317e-06,1.1163185927898501e-07,0.25949404454240071
30,3,0.25653850752692203,0.0025910600281576152,2.9507819547723362e-06,2.7173797235643631e-07,0.25653555674496725
40,4,0.25542299851877021,0.0033853615785300983,3.9402508124355351e-06,2.1427826863501491e-07,0.25541905826795774
50,5,0.24529640363591523,0.0033333050763927905,5.3799587042403222e-06,5.8280649729212929e-07,0.24529102367721101
60,6,0.24091753042474531,0.002024026454676225,5.8212065264547114e-06,7.6960266392356336e-07,0.24091170921821886
70,7,0.23856636529720041,0.0020288204871172048,7.2072942250594703e-06,9.7246135111700986e-07,0.23855915800297534
80,8,0.23256961465824558,0.0014954980851616237,7.729763473896742e-06,8.2008331422710121e-07,0.23256188489477167
90,9,0.22848176650111401,0.0037012493646404057,1.2488075231666543e-05,2.2957329514618541e-06,0.22846927842588236
100,10,0.21956367886619291,0.0026375606916042545,9.9702845935769738e-06,1.3761611814681199e-06,0.21955370858159934
110,11,0.21563598142434379,0.0032652651401690303,1.9437814913937617e-05,3.9777821515136581e-06,0.21561654360942986
120,12,0.2190511481132861,0.0032305196370179647,2.8373542130336406e-05,7.1610746263740006e-06,0.21902277457115576
130,13,0.20886949056346871,0.0025516310405873238,1.9930594894256337e-05,4.9338031762506512e-06,0.20884955996857446
140,14,0.20725820797328934,0.0021704895011456543,4.1899702423157813e-05,4.2196114935682764e-06,0.20721630827086618
150,15,0.20475617776966487,0.0027491753900115933,2.3503288124803576e-05,2.2504529237695137e-06,0.20473267448154006
160,16,0.20235783931612339,0.0026026042574597698,6.8601192318560466e-05,8.3458552565477122e-06,0.20228923812380484
170,17,0.197597831995941,0.0030581956315971193,5.8434428556036121e-05,5.2591186338048138e-06,0.19753939756738495
180,18,0.19229212189048131,0.0020581565732846704,5.9593058242231232e-05,4.7901228530822976e-06,0.19223252883223907
190,19,0.1944093133967667,0.002751983074863195,8.4771926103714433e-05,7.8710712944826971e-06,0.194324541470663
200,20,0.19008150517892319,0.0022518333687914752,0.00020132584907095604,2.139416354902505e-05,0.18988017932985224
210,21,0.18492795411184137,0.0027939118675049395,0.00044910146199144752,4.6074232675794355e-05,0.18447885264984992
220,22,0.18331737878883031,0.0023409577114639219,0.00011056011248815886,1.9062708738615008e-05,0.18320681867634214
230,23,0.1769530237208462,0.0029924870072974008,0.0001120349587564685,1.188118966129009e-05,0.17684098876208973
240,24,0.17680951901874267,0.0024338296889092133,6.4133083351415604e-05,5.8999854606370988e-06,0.17674538593539127
250,25,0.17163723673703962,0.0028294030228173867,8.9090075547888829e-05,1.0632357525678856e-05,0.17154814666149173
260,26,0.17236995276746442,0.0018328049605157062,0.00013401614491804123,3.0922526542544842e-05,0.17223593662254638
270,27,0.16736858101283558,0.0011698507068147047,0.0001322730171100203,8.5409652980903583e-06,0.16723630799572556
280,28,0.17167639355114447,0.0022829997978466156,9.804130665865888e-05,7.3974503410944883e-06,0.17157835224448581
290,29,0.16945451113166535,0.0030615804200806195,0.00020053690057957881,2.2411361926845406e-05,0.16925397423108576
300,30,0.16424582685398328,0.0027516661805154791,0.00015528261165170758,1.6223132663340129e-05,0.16409054424233158
310,31,0.16374630702899737,0.0018757985317316259,0.00025221114313749937,4.6375105971091693e-05,0.16349409588585986
320,32,0.16092726755808823,0.0014487117024141322,0.00020823246458222868,3.938199475542979e-05,0.16071903509350599
330,33,0.16305625202693053,0.002505171776852195,0.00025106933670259466,3.5992049409852529e-05,0.16280518269022792
340,34,0.15682236164177721,0.0024484358462155149,0.00033910238826766523,3.9375888402104989e-05,0.15648325925350953
350,35,0.1574847049191459,0.0034935129043854787,0.00031652235532819912,6.9450531937110632e-05,0.1571681825638177
360,36,0.15125419599926176,0.0019949829973093546,0.00028691163844605963,2.6651700354407788e-05,0.15096728436081572
370,37,0.15136320755745955,0.003542906143379084,0.00030907749940012498,3.3008653772055149e-05,0.15105413005805943
380,38,0.14740160020466989,0.0023027691656825407,0.00045355787233654512,3.534902650903551e-05,0.14694804233233333
390,39,0.14580413514446536,0.0013722964966044924,0.0003423289060363405,0.00012529266040908367,0.14546180623842903
400,40,0.14319849335129597,0.0027241614582184169,0.0002901776113892473,6.2120004898852979e-05,0.14290831573990673
