passo,gamma_t,c_total,sd_total,c_inter,sd_inter,c_intra
0,0,0,0,0,0,0
10,1,0.79068206397442087,0.0021035229060624174,3.1895870147104739e-06,1.061588423571232e-08,0.79067887438740614
20,2,1.7955377044085028,0.0066571807776539017,0.00013370379916585067,6.3613000112193211e-07,1.795404000609337
30,3,2.976721054438356,0.016812205088765068,0.0012480694048574302,9.8872327995946282e-06,2.9754729850334987
40,4,4.217473297802476,0.016092591422910803,0.0060604767064184415,3.8571611650523891e-05,4.211412821096058
50,5,5.4127354614117236,0.023120157447649562,0.020194244595346245,0.00011685960001083797,5.3925412168163778
60,6,6.4004558689027,0.036727466645382754,0.051766044931275408,0.00030137713161311404,6.3486898239714247
70,7,7.0691636528348081,0.056311150560139522,0.10892983277224844,0.00085452043056906044,6.9602338200625598
80,8,7.4565932830832367,0.06874283731905502,0.2006080948701349,0.0023930655495635524,7.2559851882131019
90,9,7.5145259854168582,0.082065516833588037,0.32791290590884936,0.0037217334081727353,7.1866130795080085
100,10,7.2639249142535567,0.098797053333737589,0.49879813268555256,0.0063898338808398439,6.7651267815680045
110,11,7.0065387795585368,0.064016382461276097,0.7408401620044861,0.0065870081648090519,6.265698617554051
120,12,7.1436119293443037,0.084830807822311768,1.0520661983347568,0.01316288093463055,6.0915457310095471
130,13,7.444973903414021,0.095479056328163073,1.4111546288401189,0.020101429798380307,6.0338192745739025
140,14,7.2378230260879661,0.10699103473249136,1.6683220729996895,0.024784417467451168,5.5695009530882764
150,15,7.015991715747723,0.13356811667273871,1.9262502854110108,0.041823460669788641,5.0897414303367121
160,16,7.126783320796287,0.14137502506993124,2.2678095324330063,0.054029065462754378,4.8589737883632811
170,17,7.2410724119908405,0.1185407569761228,2.534957053411043,0.056692726435599625,4.7061153585797975
180,18,7.0062481856599064,0.088137881202970531,2.5864620275862165,0.041993393411438859,4.4197861580736895
190,19,6.6734917382630128,0.10019578325613746,2.531896608040662,0.051908270425428664,4.1415951302223508
200,20,6.6351658817041725,0.10287044133004411,2.5914043208764554,0.061243722793767309,4.0437615608277167
210,21,6.5035441649882468,0.099204330109344735,2.5377487105436289,0.053952471332289725,3.9657954544446179
220,22,6.2608750071447945,0.093211515979400444,2.3643519131832886,0.049581838925017413,3.8965230939615059
230,23,5.8289782304307032,0.088912605223600158,2.0830081860336596,0.046131013706848974,3.7459700443970436
240,24,5.6531481899351217,0.10216691525748592,1.9715614650242581,0.054567951068212807,3.6815867249108636
250,25,5.3690402572680496,0.098091757914785152,1.8029032125624589,0.05089692515119848,3.5661370447055907
260,26,4.9916307426608828,0.096062666731995719,1.6342956573544702,0.049493783935704611,3.3573350853064126
270,27,4.8378552950940854,0.11835039245609376,1.6176043852930031,0.055486648344304002,3.2202509098010825
280,28,4.5076392664406395,0.10812642814835687,1.5483826854334224,0.050092544288333735,2.9592565810072173
290,29,4.2373413822360533,0.11708192637597947,1.4858172318624518,0.056987064057112388,2.7515241503736014
300,30,4.019239397888394,0.10655860165625231,1.4556621786663926,0.058187894405133882,2.5635772192220014
310,31,3.8579296007813726,0.10240131112662378,1.4337846893609199,0.054932251179196104,2.424144911420453
320,32,3.5292811505581323,0.071037501170262279,1.3028098895568621,0.041291296023459219,2.2264712610012705
330,33,3.2515630245022469,0.083694886031216637,1.1888702731345437,0.049181464677694124,2.0626927513677034
340,34,3.0112208616053313,0.074174957219055399,1.0863174725461517,0.043385930828760126,1.9249033890591796
350,35,2.8398632220663078,0.050275935769449553,1.0296759387983647,0.033531097597905721,1.8101872832679431
360,36,2.660594695626322,0.043506874662664598,0.95055571687318741,0.038023945038678758,1.7100389787531345
370,37,2.5478099311132527,0.026348312049125668,0.90433245705282828,0.024966898952976945,1.6434774740604245
380,38,2.4287363531774124,0.044898463614391884,0.84731062514278332,0.037316540060959143,1.5814257280346291
390,39,2.2408916955790668,0.0391998139249062,0.75009105738561366,0.035138635308406212,1.4908006381934531
400,40,2.1575920895935408,0.038043415796442479,0.72582010654673257,0.029368875767773747,1.4317719830468083
