passo,gamma_t,c_total,sd_total,c_inter,sd_inter,c_intra
0,0,0,0,0,0,0
10,1,0.69257534518806341,0.002808895635088357,2.5714190757622804e-06,1.5622115506206903e-08,0.69257277376898763
20,2,1.4006474920489305,0.0061060094526401874,9.0090723772595567e-05,5.1291839830154905e-07,1.4005574013251578
30,3,2.0038398792702412,0.013028090502300542,0.00067962596305299011,7.1254019056269391e-06,2.0031602533071884
40,4,2.4688282007064899,0.021435583970900212,0.0026957691288123746,3.0720880081588149e-05,2.4661324315776776
50,5,2.7252589471140674,0.028159206303663923,0.0072788820799257869,0.00010610862223583884,2.7179800650341415
60,6,2.8161243279983377,0.039197528342857245,0.015165425075558084,0.00027431529912447873,2.8009589029227797
70,7,2.8696554957480869,0.032090210139321444,0.027937957240452477,0.00049149049852621112,2.8417175385076345
80,8,2.7181621703837893,0.038098307393731989,0.043184385469083625,0.0011098424695130068,2.6749777849147058
90,9,2.4485210474343249,0.03465171264763945,0.058153758391314155,0.0017021700044955795,2.3903672890430108
100,10,2.1503342031470516,0.045646033584917652,0.072408403657748269,0.0023589810439760832,2.0779257994893032
110,11,1.9353665086492207,0.041461002256688945,0.088237590362194404,0.0035107767328774377,1.8471289182870263
120,12,1.7851797239160889,0.033308700605438057,0.10468793889697572,0.0042543956499974007,1.6804917850191132
130,13,1.6653729979480807,0.024378162833363533,0.11982499057985883,0.004406538666629393,1.545548007368222
140,14,1.5676985970533972,0.026342261566931525,0.13300633911093679,0.0065820515540555447,1.4346922579424604
150,15,1.4789056276684758,0.022839025175203153,0.13679751989667105,0.0056163440525712699,1.3421081077718047
160,16,1.4322983109018956,0.036282619766327337,0.14129543168338296,0.0071768421903608036,1.2910028792185126
170,17,1.3663681353112682,0.033586426587018062,0.14931051452686223,0.0079840125008744395,1.2170576207844059
180,18,1.3294204776881251,0.028903307442346617,0.15167843315221718,0.006829902220278722,1.1777420445359079
190,19,1.2540856312488458,0.022433047999159562,0.15022105129948457,0.0094512253757966583,1.1038645799493612
200,20,1.1970126734796256,0.027002092738114988,0.14633087609409295,0.0085145546354751921,1.0506817973855327
210,21,1.1340401686441743,0.013976981928215424,0.139301123013686,0.0054996571454961332,0.99473904563048832
220,22,1.1081332625256892,0.02275621349384864,0.13297276443451067,0.0066119101476299841,0.97516049809117855
230,23,1.0542034787880017,0.026549489500145483,0.1286556642920266,0.0082324487935356259,0.92554781449597512
240,24,1.0448679990313945,0.027862466320200164,0.12652655994342824,0.0092353141791957655,0.91834143908796628
250,25,1.0383376114553826,0.027871642746405127,0.12653885374186111,0.0050917300093488507,0.91179875771352148
260,26,1.0025469764553847,0.033085153828823564,0.13072363919672855,0.0056123965139492533,0.87182333725865613
270,27,0.95603529673821519,0.017062733206086346,0.12518869972217558,0.0045615835787673762,0.83084659701603958
280,28,0.92111111341206409,0.012124341098774426,0.13275925049142756,0.0052812101492120834,0.78835186292063653
290,29,0.91391314303863047,0.0098878138228040546,0.13392537886602576,0.0061514981124371846,0.77998776417260474
300,30,0.89263279360117975,0.01980160530684389,0.13680541839680399,0.0064727019479087012,0.75582737520437582
310,31,0.8671843030234343,0.023107203481859462,0.13363321680440809,0.0076452146098932678,0.7335510862190262
320,32,0.81315411624876299,0.020990059762415591,0.11490584996592268,0.0074787461500312701,0.69824826628284031
330,33,0.77479819372971848,0.012287483822071454,0.10480422870267016,0.0051878479152117508,0.66999396502704833
340,34,0.77545905030917106,0.012154762897881482,0.10714202199601854,0.0043232360264096508,0.66831702831315254
350,35,0.74522153625971255,0.017449171907806284,0.1085523007693924,0.0059624899737912808,0.63666923549032017
360,36,0.73364263527836504,0.023839740963091348,0.10289570305439104,0.0086698842263843775,0.63074693222397404
370,37,0.72125398509558192,0.026574930020261008,0.10746915649052194,0.0097253148776463988,0.61378482860506001
380,38,0.70871630215535064,0.023304177303136265,0.10398623594316848,0.010781661546552431,0.60473006621218217
390,39,0.70326228833354743,0.02268679816614071,0.10212121139597491,0.010462820361008204,0.60114107693757246
400,40,0.67091872662400664,0.012833496214725609,0.091038331284202995,0.005338263616154206,0.57988039533980362
