#! conteudo varredura_quiralidade
#! n_traj 16000
# p = 0 (sem religacao): a costura e a unica feicao estrutural variavel.
# |E| varia 0.6% com a costura porque com pontas abertas as arestas de
# costura que caem fora do cilindro somem — e isso e fisica, nao defeito.
p,gamma,lambda2,Q,N,n_traj,blocos,c_inter,sd_c_inter,vies_c_inter,ef,sd_ef,vies_ef,cov,corr,lambda2_ok,segundos
0,0.4,0.0062011720196520313,0.77941360874571086,520,16000,16,0.085216803776376818,0.0052518447949961014,0.028084284551078944,6.0931538591526507e-16,5.1722701705614048e-16,0,4.4273856529769589e-19,0.16298748874192712,1,775.5
0,0.02,0.006485895174662284,0.765533447265625,520,16000,16,30.286074183626791,0.17712720922353792,-0.081507327053374226,1.717701857640629e-06,2.3033451826568083e-07,1.4117215787571672e-22,-6.385437282277716e-09,-0.15651152991572945,1,808.9
0,0.4,0.0063082424540794333,0.7724806662700775,520,16000,16,0.09021476360519276,0.0056824187583051165,0.025893270452972562,4.4860764684166996e-14,4.3312426736100783e-14,2.1036290805893647e-30,-1.9088084110295072e-17,-0.077556211686154911,1,849.1
0,0.02,0.0061653325337444062,0.78633231853869567,520,16000,16,32.924241944589163,0.21020685379238177,-0.046120035248174908,8.9529497906604705e-09,6.6580741259052753e-11,5.5145374170201842e-25,8.7436731978697283e-12,0.62473871372666989,1,852.2
0,0.4,0.0061653325337444062,0.78633231853869567,520,16000,16,0.091336626354528105,0.0077670869999653886,0.028995632421492768,1.114359210856793e-15,8.1315239218942129e-16,0,-9.0960865353659757e-19,-0.14402055149094747,1,854.6
0,0.02,0.0063082424540794333,0.7724806662700775,520,16000,16,35.370103032158617,0.21300416682941703,-0.058594243686878635,3.7601734795008733e-07,2.2929496931152446e-09,1.7646519734464589e-23,2.3069759324539483e-10,0.47234621322796405,1,855.6
0,0.02,0.0062011720196520313,0.77941360874571086,520,16000,16,33.543230802492722,0.20289793412148246,-0.071671529244637114,4.1175274499377331e-08,2.3028083537152947e-10,-2.2058149668080737e-24,3.441776268395101e-11,0.73662628950220777,1,948.1
0,8,0.0061653325337444062,0.78633231853869567,520,16000,16,1.2849263610566724e-06,7.6627825885073637e-08,-2.4722839705272969e-07,1.6285416621757513e-64,1.5907367117023591e-64,0,-4.1470629817262117e-72,-0.34021685319582295,1,983.8
0,8,0.0062011720196520313,0.77941360874571086,520,16000,16,1.2303122656045158e-06,7.4899574126650132e-08,-2.1968670793019744e-07,2.7201774979376841e-64,2.6479762524136078e-64,1.1245011139445891e-80,-5.7563435380160305e-72,-0.29023733016121123,1,987.9
0,8,0.0063082424540794333,0.7724806662700775,520,16000,16,1.6120722195864476e-06,8.9242317283739068e-08,-2.9906125188939451e-07,1.2554854010461484e-62,1.0996942316388197e-62,2.1590421387736112e-78,4.118814793358707e-72,0.0041969082800662845,1,1051.6
0,0.4,0.0067333880230565756,0.7585719077063322,520,16000,16,0.10084300618225851,0.0072526839414277927,0.020655089587519451,2.955086267471109e-13,2.6568974199881079e-13,-3.3658065289429835e-29,4.687309439294957e-17,0.024324845237115596,1,770.1
0,0.4,0.006485895174662284,0.765533447265625,520,16000,16,0.091549378599629,0.0060527607832788826,0.026012018553599182,2.2819405932851469e-13,2.2090462388881198e-13,0,-2.9497555092804035e-16,-0.22061127489691079,1,847.3
0,0.02,0.007049730570733664,0.75159600338540378,520,16000,16,32.818645637871398,0.19297355458565693,-0.074953755723830298,2.2806311029685166e-05,2.7542296353399717e-07,-1.1293772630057337e-21,3.0229898050862536e-08,0.56877269477027281,1,801.4
0,0.02,0.0067333880230565756,0.7585719077063322,520,16000,16,33.021620643980796,0.19589848523848047,-0.068992111668161257,4.8538651012195651e-06,2.4369946994922331e-08,2.8234431575143343e-22,2.9947898217713827e-09,0.62730779762245836,1,861.0
0,0.02,0.0074335489030760635,0.75245841251447332,520,16000,16,34.809053387003871,0.21193433752803378,-0.080467728139275607,0.0001088956251272522,9.9349592093394839e-07,0,1.6485802318733183e-07,0.78296558449634113,1,766.9
0,8,0.0067333880230565756,0.7585719077063322,520,16000,16,1.3983959798873027e-06,6.7627073243120969e-08,-2.8111200571001915e-07,1.9493850063071659e-64,1.7869399374900404e-64,1.1245011139445891e-80,-5.1391296967190918e-72,-0.4252644020513926,1,919.0
0,8,0.006485895174662284,0.765533447265625,520,16000,16,1.5543013893318666e-06,8.3017135281714153e-08,-2.8969117326275826e-07,3.4600408357257142e-64,3.1787705025415554e-64,4.4980044557783563e-80,-5.8444044156585057e-72,-0.22146920313500904,1,972.9
0,0.4,0.007049730570733664,0.75159600338540378,520,16000,16,0.10031332919286673,0.0062069462637978686,0.023643299508498538,2.3050006032532439e-12,1.8844410163120608e-12,0,1.3720951547153648e-15,0.11730693745374686,1,847.3
0,0.4,0.0074335489030760635,0.75245841251447332,520,16000,16,0.096073862901468174,0.0058184892452132798,0.018637618446961903,1.2836917326483555e-10,8.5697480169741369e-11,0,1.2064636927430225e-13,0.24195576183683742,1,776.8
0,8,0.007049730570733664,0.75159600338540378,520,16000,16,1.4028639104907706e-06,6.8125282807048797e-08,-2.809061546424482e-07,2.1758491879161373e-64,1.9959138725843498e-64,1.1245011139445891e-80,-5.7863941721172565e-72,-0.42555715790280602,1,863.8
0,8,0.0074335489030760635,0.75245841251447332,520,16000,16,1.959422698237418e-06,8.4160154118804163e-08,-4.3072608233318768e-07,3.6103059414570674e-64,3.319486159215318e-64,0,-5.2916083435686164e-72,-0.18941322923939938,1,459.9
