#! core_hash daedalus 0.1.0  core 60a4dce01a4e6fb8  (26 arquivos)
#! implementacao c
#! conteudo varredura_fase2_CONTROLE_SBM
#! n_traj 63000
#! blocos 16
#! estimador wardle_kronberg
# CONTROLE: Q casado ao microtubulo linha a linha; |E| ~ 2000 (grau 7.7),
# que e o minimo em que o SBM CONECTA. Com |E| = 1024 do microtubulo ele
# tem 8 a 13 componentes. Os dois confundimentos estao declarados.
p,gamma,lambda2,Q,N,n_traj,blocos,c_inter,sd_c_inter,vies_c_inter,ef,sd_ef,vies_ef,cov,corr,lambda2_ok,segundos
0,0.4,0.88428906625710246,0.35242243509411575,520,63000,16,1.1460028464206102,0.020427762740561736,0.054522960587583803,0.00073086774814143461,4.0238073402806223e-05,3.6140072416183479e-20,3.9693957227947388e-09,0.0048291023905921984,1,3382.2
0,0.02,0.88428906625710246,0.35242243509411575,520,63000,16,173.9045955483742,0.53571841466761694,-0.028736156684866881,0.00076693928694668062,1.1103243714338817e-05,3.6140072416183479e-20,-2.0064129926128437e-06,-0.33731362500687073,1,3490.3
0,0.14736,0.88428906625710246,0.35242243509411575,520,63000,16,2.5715227603172286,0.041902324527901769,0.0068423207602575547,0.0010395609308057145,2.6179527396091349e-05,7.2280144832366958e-20,2.1506684770399812e-07,0.19605302664245525,1,3510.0
0,0.05429,0.86963921748078665,0.43263975615536121,520,63000,16,50.861706516080517,0.34287337162971759,-0.10864841243021554,0.0014188396141968096,1.5309184773244585e-05,0,-1.6665366848443308e-06,-0.31748927214906875,1,3558.4
0,0.05429,0.88428906625710246,0.35242243509411575,520,63000,16,50.517043677718284,0.33129751404074087,-0.11022889406588614,0.00092215524937859245,1.3371748439749786e-05,-3.6140072416183479e-20,2.4801211236016257e-06,0.55984334054454754,1,3592.2
0,2.94723,0.88428906625710246,0.35242243509411575,520,63000,16,0.34590147957248607,0.0026076691677917813,-0.0038733949628381912,3.0751927526891132e-05,1.2685209005462942e-05,-2.2587545260114674e-21,-7.3905854987515322e-09,-0.22342343589159794,1,3595.3
0,0.02,0.86963921748078665,0.43263975615536121,520,63000,16,175.67641336158505,0.54190723740133961,-0.027835358634736924,0.0016816528661603614,8.5900385979570744e-06,0,1.5155619934061785e-07,0.032557694160413174,1,3645.8
0,0.14736,0.86963921748078665,0.43263975615536121,520,63000,16,2.3258586702857467,0.05909967770108749,0.038790589326579195,0.0012144454119863088,2.0417183094440391e-05,7.2280144832366958e-20,2.3237488265008821e-08,0.01925786986265373,1,3773.4
0,1.08577,0.88428906625710246,0.35242243509411575,520,63000,16,0.8286190404378595,0.011100654400205622,-0.013330304600010537,0.00019993872870774688,3.319550897602592e-05,9.0350181040458698e-21,-2.2097917307439612e-08,-0.05996853374436701,1,3834.7
0,8,0.88428906625710246,0.35242243509411575,520,63000,16,0.12179241232312518,0.00065497094745387409,-0.00067664719787301209,6.2779040655219243e-09,2.2359245845983218e-09,2.7572687085100921e-25,2.4559715591073761e-13,0.16770427970257007,1,4313.1
