#! conteudo teste_janela_temporal
# t1 = 400 com gamma_deph 10x menor: gamma*t1 fixo em 0.8. Se a saturacao em lambda2 for do
# RELOGIO e nao da rede, o ponto p = 0 sobe e o limiar desce.
p,gamma,lambda2,Q,N,n_traj,blocos,c_inter,sd_c_inter,vies_c_inter,ef,sd_ef,vies_ef,cov,corr,lambda2_ok,segundos
0.25,0.002,0.20415986383553719,0.58002328872680664,520,4000,16,168.22973055358764,2.8699362736594027,-0.501496505698384,0.0021945336775960264,2.6310892167380636e-05,-1.4456028966473392e-19,-3.601157944249169e-06,-0.04769077077547524,1,471.0
0.41667,0.002,0.3356785929006566,0.43153619766235352,520,4000,16,164.51095992723128,2.8191517141219515,-0.53642234845624637,0.0015603616733634268,1.1104805791896655e-05,1.4456028966473392e-19,-4.3533280459154557e-06,-0.13905671919265697,1,474.4
0.08333,0.002,0.13709162452970658,0.70404720306396484,520,4000,16,165.8555093017969,2.8474144225552238,-0.51167119540620354,0.001530123094161683,9.7332095537907473e-06,-7.2280144832366958e-20,-5.3443495448873983e-06,-0.19283599409693214,1,507.8
0.16667,0.002,0.18786400580360466,0.65033149719238281,520,4000,16,164.25492851942494,2.809747033412834,-0.5157748911236032,0.0017622538164769751,1.4890128946557619e-05,0,5.4419939012667421e-06,0.13007456155549435,1,520.2
0.33333,0.002,0.24203880363855362,0.50959873199462891,520,4000,16,165.76912506847299,2.8255887125605752,-0.53252082047176452,0.00166526658819677,1.3808267769664749e-05,-7.2280144832366958e-20,9.7722293736583851e-06,0.25046411115477107,1,556.1
0,0.002,0.006485895174662284,0.765533447265625,520,4000,16,113.76400196842994,1.947575677257618,-0.66327676389106693,0.0014053835040463015,6.4405140807229153e-06,-7.2280144832366958e-20,-8.3568717757072693e-06,-0.66623717564869878,1,559.8
