#! conteudo teste_janela_temporal
# t1 = 400 contra os 40 da varredura. Se a saturacao em lambda2 for do
# RELOGIO e nao da rede, o ponto p = 0 sobe e o limiar desce.
p,gamma,lambda2,Q,N,n_traj,blocos,c_inter,sd_c_inter,vies_c_inter,ef,sd_ef,vies_ef,cov,corr,lambda2_ok,segundos
0,0.02,0.006485895174662284,0.765533447265625,520,4000,16,1.9955119516473343,0.040779154414624069,2.0402945630395801,0.0018660773034116669,4.4875948701140778e-05,0,5.1566806968013087e-08,0.028178533128338023,1,397.4
0.41667,0.02,0.3356785929006566,0.43153619766235352,520,4000,16,2.1750208446861703,0.065423321700634404,2.2249026185230121,0.0016816137711219768,1.8693003641309024e-05,7.2280144832366958e-20,2.8144871235536659e-07,0.23013760278194495,1,450.9
0.16667,0.02,0.18786400580360466,0.65033149719238281,520,4000,16,2.2065087602474334,0.037593635607590457,2.154777148318582,0.0016917265941259569,2.7967484646334808e-05,-7.2280144832366958e-20,-2.485315858166693e-07,-0.23638170186883284,1,496.9
0.08333,0.02,0.13709162452970658,0.70404720306396484,520,4000,16,2.0516918306885907,0.033856579027017435,2.1142863448540994,0.001816954967834649,3.852661077130366e-05,0,-6.7001498097139386e-07,-0.51366578007645969,1,532.3
0.33333,0.02,0.24203880363855362,0.50959873199462891,520,4000,16,2.2429846354701755,0.049587985983402645,2.1812926421274113,0.0016022189097857997,1.8533795181729223e-05,0,-1.6735461733829836e-07,-0.18209451740884575,1,532.6
0.25,0.02,0.20415986383553719,0.58002328872680664,520,4000,16,2.2229371841622254,0.035294630880778853,2.1803589046456771,0.0017748637859085791,3.1873625921263046e-05,7.2280144832366958e-20,-4.0479128415290878e-07,-0.35982475404491049,1,622.5
